,folio,line,type,word,pre_text,after_text,position
178,015r,N017,#snorm,e-s-,e,,final
179,015r,N017,#snorm,al-s-,al,,final
180,015r,N018,#snorm,e-s-,e,,final
181,015r,N019,#snorm,e-s-,e,,final
182,015r,N020,#snorm,e-s-,e,,final
183,015r,N020,#snorm,ander-s-,ander,,final
184,015r,N020,#snorm,e-s-,e,,final
185,015r,N021,#snorm,e-s-,e,,final
186,015r,N021,#snorm,ander-s-,ander,,final
187,015r,N022,#snorm,e-s-,e,,final
188,015r,N023,#snorm,wenig-s-,wenig,,final
189,015r,N023,#snorm,wel-s-,wel,,final
190,015v,N004,#snorm,-S-o,,o,initial
191,015v,N005,#snorm,al-s-,al,,final
192,015v,N007,#snorm,-S-meller,,meller,initial
193,015v,N010,#snorm,da-s-,da,,final
194,015v,N012,#snorm,da-s-,da,,final
195,015v,N012,#snorm,al-s-,al,,final
196,015v,N012,#snorm,da-s-,da,,final
197,015v,N014,#snorm,ain-s-,ain,,final
198,015v,N015,#snorm,da-s-,da,,final
199,015v,N015,#snorm,e-s-,e,,final
200,015v,N016,#snorm,e-s-,e,,final
201,015v,N017,#snorm,da-s-,da,,final
202,015v,N017,#snorm,e-s-,e,,final
203,015v,N018,#snorm,e-s-,e,,final
204,015v,N018,#snorm,e-s-,e,,final
205,015v,N019,#snorm,da-s-,da,,final
206,015v,N019,#snorm,e-s-,e,,final
207,015v,N023,#snorm,Da-s-,Da,,final
208,015v,N023,#snorm,e-s-,e,,final
209,016r,N003,#snorm,al-s-,al,,final
210,016r,N006,#snorm,al-s-,al,,final
211,016r,N007,#snorm,da-s-,da,,final
212,016r,N008,#snorm,da-s-,da,,final
213,016r,N009,#snorm,-S-o,,o,initial
214,016r,N012,#snorm,-S-o,,o,initial
215,016r,N013,#snorm,-S-malcz,,malcz,initial
216,016r,N019,#snorm,-s-y,,y,initial
217,016r,N020,#snorm,leg-s-,leg,,final
218,016r,N021,#snorm,-S-ieden,,ieden,initial
219,016r,N021,#snorm,da-s-,da,,final
220,016r,N022,#snorm,-S-o,,o,initial
221,016v,N002,#snorm,al-s-,al,,final
222,016v,N004,#snorm,al-s-,al,,final
223,016v,N004,#snorm,al-s-,al,,final
224,016v,N005,#snorm,da-s-,da,,final
225,016v,N005,#snorm,da-s-,da,,final
226,016v,N008,#snorm,ain-s-,ain,,final
227,016v,N008,#snorm,da-s-,da,,final
228,016v,N008,#snorm,e-s-,e,,final
229,016v,N011,#snorm,ain-s-,ain,,final
230,016v,N012,#snorm,al-s-,al,,final
231,016v,N013,#snorm,da-s-,da,,final
232,016v,N015,#snorm,e-s-,e,,final
233,016v,N016,#snorm,al-s-,al,,final
234,016v,N017,#snorm,al-s-,al,,final
235,016v,N018,#snorm,yeglig-s-,yeglig,,final
236,016v,N020,#snorm,-S-malcz,,malcz,initial
237,016v,N022,#snorm,-S-o,,o,initial
238,016v,N023,#snorm,wa-s-ch,wa,ch,medial
239,017r,N001,#snorm,al-s-,al,,final
240,017r,N002,#snorm,da-s-,da,,final
241,017r,N004,#snorm,-S-malcz,,malcz,initial
242,017r,N007,#snorm,-S-o,,o,initial
243,017r,N009,#snorm,da-s-,da,,final
244,017r,N009,#snorm,alle-s-,alle,,final
245,017r,N009,#snorm,al-s-,al,,final
246,017r,N009,#snorm,da-s-,da,,final
247,017r,N010,#snorm,meng-s-,meng,,final
248,017r,N011,#snorm,al-s-,al,,final
249,017r,N012,#snorm,da-s-,da,,final
250,017r,N012,#snorm,e-s-,e,,final
251,017r,N014,#snorm,da-s-,da,,final
252,017r,N014,#snorm,e-s-,e,,final
253,017r,N016,#snorm,da-s-,da,,final
254,017r,N017,#snorm,-S-toß,,toß,initial
255,017r,N017,#snorm,da-s-,da,,final
256,017r,N018,#snorm,da-s-,da,,final
257,017r,N019,#snorm,da-s-,da,,final
258,017r,N022,#snorm,ful-s-,ful,,final
259,017r,N023,#snorm,leg-s-,leg,,final
260,017r,N023,#snorm,pren-s-,pren,,final
261,017v,N001,#snorm,|s|chel-s-,|s|chel,,final
262,017v,N002,#snorm,al-s-o,al,o,medial
263,017v,N003,#snorm,pachen-s-,pachen,,final
264,017v,N003,#snorm,al-s-,al,,final
265,017v,N004,#snorm,-S-o,,o,initial
266,017v,N004,#snorm,al-s-,al,,final
267,017v,N011,#snorm,-S-o,,o,initial
268,017v,N012,#snorm,da-s-,da,,final
269,017v,N016,#snorm,da-s-,da,,final
270,017v,N022,#snorm,-S-chon,,chon,initial
271,017v,N023,#snorm,-S-neyd,,neyd,initial
272,018r,N001,#snorm,e-s-,e,,final
273,018r,N003,#snorm,wa|s|-s-er,wa|s|,er,medial
274,018r,N003,#snorm,da-s-,da,,final
275,018r,N010,#snorm,e-s-,e,,final
276,018r,N016,#snorm,e-s-,e,,final
277,018r,N017,#snorm,e-s-,e,,final
278,018r,N017,#snorm,e-s-,e,,final
279,018r,N018,#snorm,e-s-,e,,final
280,018r,N019,#snorm,e-s-,e,,final
281,018r,N019,#snorm,e-s-,e,,final
282,018r,N020,#snorm,e-s-,e,,final
283,018r,N021,#snorm,gew|s|-s-,gew|s|,,final
284,018r,N022,#snorm,la|s|-s-,la|s|,,final
285,018r,N022,#snorm,-s-ey,,ey,initial
286,018v,N002,#snorm,-S-o,,o,initial
287,018v,N003,#snorm,nu|s|-s-,nu|s|,,final
288,018v,N003,#snorm,da-s-,da,,final
289,018v,N004,#snorm,e-s-,e,,final
290,018v,N006,#snorm,da-s-,da,,final
291,018v,N007,#snorm,da-s-,da,,final
292,018v,N008,#snorm,da-s-,da,,final
293,018v,N010,#snorm,da-s-,da,,final
294,018v,N010,#snorm,da-s-,da,,final
295,018v,N011,#snorm,e-s-,e,,final
296,018v,N012,#snorm,da-s-,da,,final
297,018v,N013,#snorm,da-s-,da,,final
298,018v,N013,#snorm,da-s-,da,,final
299,018v,N013,#snorm,-s-elber,,elber,initial
300,018v,N016,#snorm,-S-o,,o,initial
301,018v,N016,#snorm,al-s-,al,,final
302,018v,N020,#snorm,da-s-,da,,final
303,018v,N021,#snorm,da-s-,da,,final
304,018v,N023,#snorm,da-s-,da,,final
305,018v,N023,#snorm,-s-ey,,ey,initial
306,019r,N001,#snorm,e-s-,e,,final
307,019r,N001,#snorm,da-s-,da,,final
308,019r,N001,#snorm,al-s-,al,,final
309,019r,N004,#snorm,e-s-,e,,final
310,019r,N008,#snorm,e-s-,e,,final
311,019r,N010,#snorm,de-s-,de,,final
312,019r,N011,#snorm,e-s-,e,,final
