folio,line,type,word,pre_text,after_text
015v,N017,#snorm,e-s-,e,
015v,N018,#snorm,e-s-,e,
015v,N018,#snorm,e-s-,e,
015v,N019,#snorm,da-s-,da,
015v,N019,#snorm,e-s-,e,
015v,N023,#snorm,Da-s-,Da,
015v,N023,#snorm,e-s-,e,
016r,N003,#snorm,al-s-,al,
016r,N006,#snorm,al-s-,al,
016r,N007,#snorm,da-s-,da,
016r,N008,#snorm,da-s-,da,
016r,N009,#snorm,-S-o,,o
016r,N012,#snorm,-S-o,,o
016r,N013,#snorm,-S-malcz,,malcz
016r,N019,#snorm,-s-y,,y
016r,N020,#snorm,leg-s-,leg,
016r,N021,#snorm,-S-ieden,,ieden
016r,N021,#snorm,da-s-,da,
016r,N022,#snorm,-S-o,,o
016v,N002,#snorm,al-s-,al,
016v,N004,#snorm,al-s-,al,
016v,N004,#snorm,al-s-,al,
016v,N005,#snorm,da-s-,da,
016v,N005,#snorm,da-s-,da,
016v,N008,#snorm,ain-s-,ain,
016v,N008,#snorm,da-s-,da,
016v,N008,#snorm,e-s-,e,
016v,N011,#snorm,ain-s-,ain,
016v,N012,#snorm,al-s-,al,
016v,N013,#snorm,da-s-,da,
016v,N015,#snorm,e-s-,e,
016v,N016,#snorm,al-s-,al,
016v,N017,#snorm,al-s-,al,
016v,N018,#snorm,yeglig-s-,yeglig,
016v,N020,#snorm,-S-malcz,,malcz
016v,N022,#snorm,-S-o,,o
016v,N023,#snorm,wa-s-ch,wa,ch
017r,N001,#snorm,al-s-,al,
017r,N002,#snorm,da-s-,da,
017r,N004,#snorm,-S-malcz,,malcz
017r,N007,#snorm,-S-o,,o
017r,N009,#snorm,da-s-,da,
017r,N009,#snorm,alle-s-,alle,
017r,N009,#snorm,al-s-,al,
017r,N009,#snorm,da-s-,da,
017r,N010,#snorm,meng-s-,meng,
017r,N011,#snorm,al-s-,al,
017r,N012,#snorm,da-s-,da,
017r,N012,#snorm,e-s-,e,
017r,N014,#snorm,da-s-,da,
017r,N014,#snorm,e-s-,e,
017r,N016,#snorm,da-s-,da,
017r,N017,#snorm,-S-toß,,toß
017r,N017,#snorm,da-s-,da,
017r,N018,#snorm,da-s-,da,
017r,N019,#snorm,da-s-,da,
017r,N022,#snorm,ful-s-,ful,
017r,N023,#snorm,leg-s-,leg,
017r,N023,#snorm,pren-s-,pren,
017v,N001,#snorm,|s|chel-s-,|s|chel,
017v,N002,#snorm,al-s-o,al,o
017v,N003,#snorm,pachen-s-,pachen,
017v,N003,#snorm,al-s-,al,
017v,N004,#snorm,-S-o,,o
017v,N004,#snorm,al-s-,al,
017v,N011,#snorm,-S-o,,o
017v,N012,#snorm,da-s-,da,
017v,N016,#snorm,da-s-,da,
017v,N022,#snorm,-S-chon,,chon
017v,N023,#snorm,-S-neyd,,neyd
018r,N001,#snorm,e-s-,e,
018r,N003,#snorm,wa|s|-s-er,wa|s|,er
018r,N003,#snorm,da-s-,da,
018r,N010,#snorm,e-s-,e,
018r,N016,#snorm,e-s-,e,
018r,N017,#snorm,e-s-,e,
018r,N017,#snorm,e-s-,e,
018r,N018,#snorm,e-s-,e,
018r,N019,#snorm,e-s-,e,
018r,N019,#snorm,e-s-,e,
018r,N020,#snorm,e-s-,e,
018r,N021,#snorm,gew|s|-s-,gew|s|,
018r,N022,#snorm,la|s|-s-,la|s|,
018r,N022,#snorm,-s-ey,,ey
018v,N002,#snorm,-S-o,,o
018v,N003,#snorm,nu|s|-s-,nu|s|,
018v,N003,#snorm,da-s-,da,
018v,N004,#snorm,e-s-,e,
018v,N006,#snorm,da-s-,da,
018v,N007,#snorm,da-s-,da,
018v,N008,#snorm,da-s-,da,
018v,N010,#snorm,da-s-,da,
018v,N010,#snorm,da-s-,da,
018v,N011,#snorm,e-s-,e,
018v,N012,#snorm,da-s-,da,
018v,N013,#snorm,da-s-,da,
018v,N013,#snorm,da-s-,da,
018v,N013,#snorm,-s-elber,,elber
018v,N016,#snorm,-S-o,,o
018v,N016,#snorm,al-s-,al,
018v,N020,#snorm,da-s-,da,
018v,N021,#snorm,da-s-,da,
018v,N023,#snorm,da-s-,da,
018v,N023,#snorm,-s-ey,,ey
019r,N001,#snorm,e-s-,e,
019r,N001,#snorm,da-s-,da,
019r,N001,#snorm,al-s-,al,
019r,N004,#snorm,e-s-,e,
019r,N008,#snorm,e-s-,e,
019r,N010,#snorm,de-s-,de,
019r,N011,#snorm,e-s-,e,
019r,N011,#snorm,chlain-s-,chlain,
019r,N012,#snorm,e-s-,e,
019r,N013,#snorm,e-s-,e,
019r,N013,#snorm,e-s-,e,
019v,N003,#snorm,da-s-,da,
019v,N004,#snorm,-s-toß,,toß
019v,N013,#snorm,e-s-,e,
019v,N019,#snorm,da-s-,da,
019v,N023,#snorm,da-s-,da,
020r,N001,#snorm,da-s-,da,
020r,N002,#snorm,da-s-,da,
020r,N019,#snorm,e-s-,e,
020r,N020,#snorm,e-s-,e,
020v,N001,#snorm,e-s-,e,
020v,N001,#snorm,da-s-,da,
020v,N002,#snorm,da-s-,da,
020v,N002,#snorm,e-s-,e,
020v,N003,#snorm,e-s-,e,
020v,N004,#snorm,da-s-,da,
020v,N004,#snorm,e-s-,e,
020v,N007,#snorm,-S-o,,o
020v,N012,#snorm,geriben-s-,geriben,
020v,N016,#snorm,-S-malcz,,malcz
020v,N017,#snorm,al-s-,al,
020v,N018,#snorm,-S-o,,o
020v,N019,#snorm,Al-s-,Al,
020v,N020,#snorm,treib-s-,treib,
020v,N021,#snorm,al-s-,al,
020v,N021,#snorm,da-s-,da,
020v,N023,#snorm,mag-s-,mag,
020v,N024,#snorm,-S-equitur,,equitur
021r,N001,#snorm,e-s-,e,
021r,N003,#snorm,gew|s|-s-,gew|s|,
021r,N004,#snorm,-S-equitur,,equitur
021r,N005,#snorm,-S-o,,o
021r,N008,#snorm,da-s-,da,
021r,N010,#snorm,da-s-,da,
021r,N015,#snorm,da-s-,da,
021r,N015,#snorm,al-s-,al,
021r,N016,#snorm,e-s-,e,
021r,N016,#snorm,alle-s-,alle,
021r,N017,#snorm,alle-s-,alle,
021r,N017,#snorm,e-s-,e,
021r,N022,#snorm,da-s-,da,
021r,N022,#snorm,e-s-,e,
021v,N001,#snorm,leg-s-,leg,
021v,N002,#snorm,erbelle-s-,erbelle,
021v,N004,#snorm,e-s-,e,
021v,N005,#snorm,e-s-,e,
021v,N010,#snorm,da-s-,da,
021v,N011,#snorm,al-s-,al,
021v,N012,#snorm,aine-s-,aine,
021v,N014,#snorm,e-s-,e,
021v,N014,#snorm,al-s-,al,
021v,N014,#snorm,-S-weinen,,weinen
021v,N016,#snorm,da-s-,da,
021v,N019,#snorm,al-s-,al,
021v,N020,#snorm,e-s-,e,
021v,N020,#snorm,-S-ierem,,ierem
021v,N020,#snorm,da-s-,da,
021v,N020,#snorm,e-s-,e,
022r,N002,#snorm,e-s-,e,
022r,N002,#snorm,-S-o,,o
022r,N004,#snorm,da-s-,da,
022r,N005,#snorm,e-s-,e,
022r,N005,#snorm,gew|s|-s-,gew|s|,
022r,N006,#snorm,i|s|-s-,i|s|,
022r,N006,#snorm,e-s-,e,
022r,N008,#snorm,-S-o,,o
022r,N014,#snorm,da-s-,da,
022r,N014,#snorm,wierf-s-,wierf,
022r,N016,#snorm,da-s-,da,
022r,N016,#snorm,ain-s-,ain,
022r,N016,#snorm,al-s-,al,
022r,N016,#snorm,al-s-,al,
022r,N016,#snorm,de-s-,de,
022r,N017,#snorm,da-s-,da,
022r,N017,#snorm,de-s-,de,
022r,N017,#snorm,benig-s-,benig,
022r,N019,#snorm,da-s-,da,
022r,N021,#snorm,da-s-,da,
022r,N021,#snorm,ain-s-,ain,
022r,N021,#snorm,al-s-,al,
022r,N021,#snorm,al-s-,al,
022r,N021,#snorm,de-s-,de,
022r,N022,#snorm,da-s-,da,
022v,N001,#snorm,e-s-,e,
022v,N001,#snorm,da-s-,da,
022v,N002,#snorm,e-s-,e,
022v,N002,#snorm,e-s-,e,
022v,N003,#snorm,da-s-,da,
022v,N003,#snorm,al-s-,al,
022v,N004,#snorm,da-s-,da,
022v,N004,#snorm,da-s-,da,
022v,N004,#snorm,e-s-,e,
022v,N005,#snorm,e-s-,e,
022v,N006,#snorm,e-s-,e,
022v,N007,#snorm,e-s-,e,
022v,N007,#snorm,da-s-,da,
022v,N008,#snorm,e-s-,e,
022v,N009,#snorm,-s-ey,,ey
022v,N012,#snorm,dar-s-,dar,
022v,N014,#snorm,da-s-,da,
022v,N015,#snorm,al-s-,al,
022v,N015,#snorm,-S-o,,o
022v,N016,#snorm,cher|s|-s-,cher|s|,
022v,N016,#snorm,e-s-,e,
022v,N017,#snorm,da-s-,da,
022v,N019,#snorm,-S-am,,am
022v,N021,#snorm,e-s-,e,
022v,N022,#snorm,e-s-,e,
023r,N001,#snorm,-S-o,,o
023r,N002,#snorm,e-s-,e,
023r,N003,#snorm,-S-o,,o
023r,N003,#snorm,e-s-,e,
023r,N005,#snorm,-S-o,,o
023r,N008,#snorm,mach-s-,mach,
023r,N012,#snorm,-S-toß,,toß
023r,N012,#snorm,mach-s-,mach,
023r,N017,#snorm,-S-o,,o
023v,N001,#snorm,pre|s|-s-,pre|s|,
023v,N001,#snorm,e-s-,e,
023v,N002,#snorm,mach-s-,mach,
023v,N004,#snorm,al-s-,al,
023v,N007,#snorm,al-s-,al,
023v,N010,#snorm,al-s-,al,
023v,N012,#snorm,da-s-,da,
023v,N013,#snorm,al-s-,al,
023v,N013,#snorm,al-s-,al,
023v,N015,#snorm,al-s-,al,
023v,N017,#snorm,da-s-,da,
023v,N018,#snorm,-S-y,,y
023v,N018,#snorm,-S-mecken,,mecken
023v,N018,#snorm,-S-o,,o
023v,N020,#snorm,al-s-,al,
024r,N003,#snorm,-S-mechent,,mechent
024r,N005,#snorm,-S-o,,o
024r,N008,#snorm,da-s-,da,
024r,N009,#snorm,da-s-,da,
024r,N010,#snorm,e-s-,e,
024r,N010,#snorm,da-s-,da,
024r,N010,#snorm,e-s-,e,
024r,N011,#snorm,wa|s|-s-er,wa|s|,er
024r,N012,#snorm,e-s-,e,
024r,N015,#snorm,e-s-,e,
024r,N021,#snorm,nu|s|-s-,nu|s|,
024v,N001,#snorm,nu|s|-s-,nu|s|,
024v,N002,#snorm,wa|s|-s-er,wa|s|,er
024v,N006,#snorm,be-s-teck,be,teck
024v,N008,#snorm,|s|awber-s-,|s|awber,
024v,N009,#snorm,e-s-,e,
024v,N011,#snorm,e-s-,e,
024v,N015,#snorm,-S-o,,o
024v,N016,#snorm,wa|s|-s-er,wa|s|,er
024v,N019,#snorm,da-s-,da,
024v,N020,#snorm,zucker-s-,zucker,
024v,N020,#snorm,da-s-,da,
025r,N001,#snorm,czucker-s-,czucker,
025r,N002,#snorm,e-s-,e,
025r,N002,#snorm,gew|s|-s-,gew|s|,
025r,N004,#snorm,da-s-,da,
025r,N005,#snorm,al-s-,al,
025r,N009,#snorm,-S-o,,o
025r,N009,#snorm,da-s-,da,
025r,N010,#snorm,da-s-,da,
025r,N011,#snorm,da-s-,da,
025r,N013,#snorm,-S-warczen,,warczen
025r,N015,#snorm,mach-s-,mach,
025r,N016,#snorm,al-s-,al,
025r,N018,#snorm,e-s-,e,
025v,N007,#snorm,-S-teren,,teren
025v,N008,#snorm,da-s-,da,
025v,N009,#snorm,-S-o,,o
025v,N009,#snorm,da-s-,da,
025v,N011,#snorm,da-s-,da,
025v,N012,#snorm,e-s-,e,
025v,N013,#snorm,leg-s-,leg,
025v,N014,#snorm,da-s-,da,
025v,N014,#snorm,da-s-,da,
025v,N015,#snorm,da-s-,da,
025v,N016,#snorm,da-s-,da,
025v,N016,#snorm,da-s-,da,
025v,N017,#snorm,da-s-,da,
025v,N021,#snorm,-S-oll,,oll
025v,N021,#snorm,rocken-s-,rocken,
025v,N022,#snorm,e-s-,e,
025v,N022,#snorm,da-s-,da,
025v,N022,#snorm,al-s-,al,
025v,N022,#snorm,e-s-,e,
025v,N023,#snorm,al-s-,al,
026r,N001,#snorm,da-s-,da,
026r,N002,#snorm,da-s-,da,
026r,N004,#snorm,e-s-,e,
026r,N006,#snorm,-S-o,,o
026r,N006,#snorm,-S-neydt,,neydt
026r,N007,#snorm,ma=ger-s-,ma=ger,
026r,N007,#snorm,da-s-,da,
026r,N008,#snorm,-S-way,,way
026r,N010,#snorm,e-s-,e,
026r,N011,#snorm,e-s-,e,
026r,N012,#snorm,wa|s|-s-er,wa|s|,er
026r,N015,#snorm,e-s-,e,
026r,N016,#snorm,e-s-,e,
026r,N018,#snorm,de-s-,de,
026r,N020,#snorm,da-s-,da,
026r,N023,#snorm,-S-o,,o
026v,N001,#snorm,|s|elb-s-,|s|elb,
026v,N004,#snorm,e-s-,e,
026v,N004,#snorm,e-s-,e,
026v,N006,#snorm,da-s-,da,
026v,N007,#snorm,e-s-,e,
026v,N008,#snorm,e-s-,e,
026v,N010,#snorm,e-s-,e,
026v,N014,#snorm,ain-s-,ain,
026v,N020,#snorm,-S-o,,o
026v,N022,#snorm,da-s-,da,
027r,N004,#snorm,viertail-s-,viertail,
027r,N005,#snorm,-S-y,,y
027r,N009,#snorm,welich-s-,welich,
027r,N014,#snorm,etwa-s-,etwa,
027r,N020,#snorm,-S-ilpratt,,ilpratt
027r,N020,#snorm,da-s-,da,
027v,N001,#snorm,-S-o,,o
027v,N005,#snorm,halb-s-,halb,
027v,N005,#snorm,wa|s|-s-er,wa|s|,er
027v,N005,#snorm,halb-s-,halb,
027v,N006,#snorm,da-s-,da,
027v,N006,#snorm,ein-s-,ein,
027v,N008,#snorm,e-s-,e,
027v,N013,#snorm,thue-s-,thue,
027v,N015,#snorm,e-s-,e,
027v,N016,#snorm,e-s-,e,
027v,N017,#snorm,al-s-,al,
027v,N019,#snorm,e-s-,e,
027v,N019,#snorm,da-s-,da,
027v,N019,#snorm,e-s-,e,
027v,N020,#snorm,e-s-,e,
027v,N020,#snorm,e-s-,e,
027v,N021,#snorm,e-s-,e,
027v,N022,#snorm,e-s-,e,
027v,N023,#snorm,da-s-,da,
028r,N003,#snorm,hal-s-,hal,
028r,N004,#snorm,hal-s-,hal,
028r,N004,#snorm,hal-s-wa|s|-s-er,hal,wa|s|-s-er
028r,N004,#snorm,hal-s-wa|s|-s-er,hal-s-wa|s|,er
028r,N005,#snorm,da-s-,da,
028r,N008,#snorm,wa|s|-s-er,wa|s|,er
028r,N010,#snorm,da-s-,da,
028r,N012,#snorm,da-s-,da,
028r,N012,#snorm,e-s-,e,
028r,N019,#snorm,e-s-,e,
028r,N022,#snorm,da-s-,da,
028r,N022,#snorm,e-s-,e,
028r,N023,#snorm,e-s-,e,
028v,N002,#snorm,da-s-,da,
028v,N003,#snorm,da-s-,da,
028v,N004,#snorm,da-s-,da,
028v,N005,#snorm,e-s-,e,
028v,N011,#snorm,da-s-,da,
028v,N012,#snorm,da-s-,da,
028v,N014,#snorm,e-s-,e,
028v,N016,#snorm,wa|s|-s-er,wa|s|,er
028v,N016,#snorm,e-s-,e,
028v,N017,#snorm,e-s-,e,
028v,N019,#snorm,e-s-,e,
028v,N020,#snorm,e-s-,e,
028v,N021,#snorm,czucker-s-,czucker,
029r,N003,#snorm,al-s-,al,
029r,N004,#snorm,e-s-,e,
029r,N008,#snorm,e-s-,e,
029r,N008,#snorm,e-s-,e,
029r,N009,#snorm,e-s-,e,
029r,N010,#snorm,da-s-,da,
029r,N010,#snorm,har|s|-s-,har|s|,
029r,N011,#snorm,e-s-,e,
029r,N012,#snorm,-S-malcz,,malcz
029r,N012,#snorm,e-s-,e,
029r,N012,#snorm,va-s-t,va,t
029r,N012,#snorm,-s-ieden,,ieden
029r,N013,#snorm,da-s-,da,
029r,N013,#snorm,e-s-,e,
029r,N013,#snorm,e-s-,e,
029r,N014,#snorm,de-s-,de,
029r,N018,#snorm,da-s-,da,
029r,N018,#snorm,wa|s|-s-er,wa|s|,er
029r,N019,#snorm,da-s-,da,
029r,N020,#snorm,e-s-,e,
029r,N021,#snorm,e-s-,e,
029r,N022,#snorm,e-s-,e,
029r,N022,#snorm,da-s-,da,
029r,N022,#snorm,da-s-,da,
029v,N002,#snorm,aug-s-t,aug,t
029v,N002,#snorm,al-s-,al,
029v,N002,#snorm,e-s-,e,
