folio,line,type,word,pre_text,after_text
196v,N013,#snorm,e-s-,e,
196v,N014,#snorm,melwe-s-,melwe,
196v,N014,#snorm,brot-s-,brot,
196v,N015,#snorm,e-s-,e,
196v,N015,#snorm,da-s-,da,
196v,N016,#snorm,aine-s-,aine,
196v,N016,#snorm,vinger-s-,vinger,
196v,N017,#snorm,al-s-,al,
196v,N018,#snorm,e-s-,e,
196v,N018,#snorm,|s|pi-s-,|s|pi,
196v,N018,#snorm,al-s-,al,
196v,N019,#snorm,e-s-,e,
196v,N019,#snorm,da-s-,da,
196v,N019,#snorm,e-s-,e,
196v,N020,#snorm,e-s-,e,
196v,N020,#snorm,e-s-,e,
196v,N021,#snorm,al-s-,al,
196v,N021,#snorm,e-s-,e,
196v,N022,#snorm,ander-s-,ander,
196v,N022,#snorm,al-s-,al,
196v,N022,#snorm,al-s-,al,
196v,N023,#snorm,-S-y,,y
196v,N023,#snorm,au-s-,au,
196v,N024,#snorm,gehackte-s-,gehackte,
196v,N024,#snorm,muo-s-,muo,
196v,N026,#snorm,hai-s-,hai,
197r,N009,#snorm,da-s-,da,
197r,N011,#snorm,al-s-,al,
197r,N012,#snorm,|s|neid-s-,|s|neid,
197r,N012,#snorm,twere-s-,twere,
197r,N013,#snorm,da-s-,da,
197r,N013,#snorm,la-s-,la,
197r,N014,#snorm,da-s-,da,
197r,N014,#snorm,da-s-,da,
197r,N015,#snorm,da-s-,da,
197r,N016,#snorm,e-s-,e,
197r,N017,#snorm,da-s-,da,
197r,N017,#snorm,e-s-,e,
197r,N021,#snorm,da-s-,da,
197r,N025,#snorm,bi-s-,bi,
197r,N025,#snorm,-S-o,,o
197v,N001,#snorm,|s|pi-s-,|s|pi,
197v,N003,#snorm,piperi-s-,piperi,
197v,N004,#snorm,e-s-,e,
197v,N006,#snorm,gan-s-,gan,
197v,N007,#snorm,-S-to-s-,,to-s-
197v,N007,#snorm,-S-to-s-,-S-to,
197v,N007,#snorm,gan-s-,gan,
197v,N007,#snorm,|s|pi-s-,|s|pi,
197v,N007,#snorm,da-s-,da,
197v,N008,#snorm,da-s-,da,
197v,N008,#snorm,gan-s-,gan,
197v,N009,#snorm,brot-s-,brot,
197v,N010,#snorm,pfeffer-s-,pfeffer,
197v,N010,#snorm,|s|affran-s-,|s|affran,
197v,N012,#snorm,da-s-,da,
197v,N014,#snorm,da-s-,da,
197v,N015,#snorm,herau-s-,herau,
197v,N016,#snorm,da-s-,da,
197v,N017,#snorm,da-s-,da,
197v,N018,#snorm,al-s-,al,
197v,N018,#snorm,gan-s-,gan,
197v,N019,#snorm,ua-s-,ua,
197v,N019,#snorm,da-s-,da,
197v,N020,#snorm,e-s-,e,
197v,N021,#snorm,gepachen-s-,gepachen,
197v,N021,#snorm,|s|pi-s-,|s|pi,
197v,N023,#snorm,da-s-,da,
197v,N024,#snorm,da-s-,da,
197v,N024,#snorm,-S-o,,o
197v,N025,#snorm,da-s-,da,
197v,N026,#snorm,da-s-,da,
197v,N026,#snorm,e-s-,e,
197v,N026,#snorm,da-s-,da,
198r,N001,#snorm,e-s-,e,
198r,N001,#snorm,na-s-,na,
198r,N002,#snorm,e-s-,e,
198r,N002,#snorm,e-s-,e,
198r,N003,#snorm,|s|pi-s-,|s|pi,
198r,N003,#snorm,e-s-,e,
198r,N004,#snorm,e-s-,e,
198r,N005,#snorm,al-s-,al,
198r,N005,#snorm,bi-s-,bi,
198r,N005,#snorm,da-s-,da,
198r,N005,#snorm,e-s-,e,
198r,N006,#snorm,e-s-,e,
198r,N010,#snorm,al-s-,al,
198r,N012,#snorm,da-s-,da,
198r,N012,#snorm,al-s-,al,
198r,N012,#snorm,e-s-,e,
198r,N013,#snorm,-S-toß,,toß
198r,N013,#snorm,e-s-,e,
198r,N014,#snorm,da-s-,da,
198r,N017,#snorm,e-s-,e,
198r,N018,#snorm,e-s-,e,
198r,N018,#snorm,honig-s-,honig,
198r,N019,#snorm,e-s-,e,
198r,N019,#snorm,e-s-,e,
198v,N001,#snorm,anei-s-,anei,
198v,N001,#snorm,geu-s-,geu,
198v,N001,#snorm,da-s-,da,
198v,N002,#snorm,da-s-,da,
198v,N005,#snorm,hai-s-,hai,
198v,N008,#snorm,aine-s-,aine,
198v,N008,#snorm,rinde-s-,rinde,
198v,N010,#snorm,-S-o,,o
198v,N015,#snorm,prot-s-,prot,
198v,N015,#snorm,da-s-,da,
198v,N015,#snorm,e-s-,e,
198v,N016,#snorm,anei-s-,anei,
198v,N016,#snorm,da-s-,da,
198v,N017,#snorm,da-s-,da,
198v,N017,#snorm,bi-s-,bi,
198v,N018,#snorm,e-s-,e,
198v,N018,#snorm,e-s-,e,
198v,N023,#snorm,la-s-,la,
198v,N024,#snorm,prot-s-,prot,
198v,N025,#snorm,da-s-,da,
199r,N001,#snorm,da-s-,da,
199r,N002,#snorm,la-s-,la,
199r,N002,#snorm,e-s-,e,
199r,N003,#snorm,da-s-,da,
199r,N003,#snorm,e-s-,e,
199r,N004,#snorm,e-s-,e,
199r,N005,#snorm,e-s-,e,
199r,N007,#snorm,-S-eud,,eud
199r,N007,#snorm,al-s-,al,
199r,N007,#snorm,bi-s-,bi,
199r,N007,#snorm,da-s-,da,
199r,N008,#snorm,-S-o,,o
199r,N009,#snorm,pfeffer-s-,pfeffer,
199r,N009,#snorm,al-s-,al,
199r,N009,#snorm,kumel-s-,kumel,
199r,N010,#snorm,da-s-,da,
199r,N011,#snorm,da-s-,da,
199r,N011,#snorm,geu-s-,geu,
199r,N011,#snorm,da-s-,da,
199r,N012,#snorm,e-s-,e,
199r,N012,#snorm,la-s-,la,
199r,N012,#snorm,e-s-,e,
199r,N013,#snorm,e-s-,e,
199r,N014,#snorm,-S-wammenn,,wammenn
199r,N015,#snorm,da-s-,da,
199r,N016,#snorm,wei-s-,wei,
199r,N017,#snorm,wa|s||s|er-s-,wa|s||s|er,
199r,N017,#snorm,da-s-,da,
199r,N017,#snorm,e-s-,e,
199r,N017,#snorm,da-s-,da,
199r,N018,#snorm,da-s-,da,
199r,N018,#snorm,e-s-,e,
199r,N022,#snorm,da-s-,da,
199r,N022,#snorm,la-s-,la,
199r,N023,#snorm,au-s-,au,
199v,N001,#snorm,da-s-,da,
199v,N006,#snorm,e-s-,e,
199v,N006,#snorm,e-s-,e,
199v,N006,#snorm,au-s-,au,
199v,N011,#snorm,e-s-,e,
199v,N015,#snorm,da-s-,da,
199v,N016,#snorm,e-s-,e,
199v,N016,#snorm,e-s-,e,
199v,N016,#snorm,|s|al-s-,|s|al,
199v,N018,#snorm,da-s-,da,
199v,N019,#snorm,e-s-,e,
199v,N019,#snorm,au-s-,au,
199v,N019,#snorm,da-s-,da,
199v,N020,#snorm,da-s-,da,
199v,N023,#snorm,lo-s-,lo,
199v,N023,#snorm,au-s-,au,
200r,N001,#snorm,da-s-,da,
200r,N003,#snorm,de-s-,de,
200r,N003,#snorm,hechte-s-,hechte,
200r,N004,#snorm,ke-s-,ke,
200r,N007,#snorm,al-s-,al,
200r,N011,#snorm,-S-to-s-,,to-s-
200r,N011,#snorm,-S-to-s-,-S-to,
200r,N011,#snorm,alle-s-,alle,
200r,N011,#snorm,e-s-,e,
200r,N012,#snorm,alle-s-,alle,
200r,N012,#snorm,da-s-,da,
200r,N013,#snorm,wein-s-,wein,
200r,N014,#snorm,e-s-,e,
200r,N014,#snorm,da-s-,da,
200r,N014,#snorm,e-s-,e,
200r,N015,#snorm,e-s-,e,
200r,N015,#snorm,geu-s-,geu,
200r,N016,#snorm,bi-s-,bi,
200r,N016,#snorm,da-s-,da,
200r,N016,#snorm,wa-s-,wa,
200r,N018,#snorm,|s|affran-s-,|s|affran,
200r,N019,#snorm,e-s-,e,
200r,N021,#snorm,al-s-,al,
200r,N021,#snorm,e-s-,e,
200r,N022,#snorm,e-s-,e,
200r,N023,#snorm,de-s-,de,
200r,N023,#snorm,lau-s-,lau,
200r,N023,#snorm,e-s-,e,
200r,N024,#snorm,rei-s-,rei,
200r,N024,#snorm,e-s-,e,
200r,N025,#snorm,gan-s-,gan,
200v,N001,#snorm,gan-s-,gan,
200v,N002,#snorm,da-s-,da,
200v,N002,#snorm,kro-s-,kro,
200v,N004,#snorm,Geu-s-,Geu,
200v,N004,#snorm,da-s-,da,
200v,N004,#snorm,e-s-,e,
200v,N005,#snorm,da-s-,da,
200v,N005,#snorm,au-s-,au,
200v,N005,#snorm,da-s-,da,
200v,N006,#snorm,kro-s-,kro,
200v,N006,#snorm,gan-s-,gan,
200v,N007,#snorm,bi-s-,bi,
200v,N008,#snorm,|s|ech-s-,|s|ech,
200v,N009,#snorm,koblouch-s-,koblouch,
200v,N010,#snorm,da-s-,da,
200v,N012,#snorm,geu-s-,geu,
200v,N012,#snorm,da-s-,da,
200v,N012,#snorm,gan-s-,gan,
200v,N015,#snorm,|s|pei-s-,|s|pei,
200v,N016,#snorm,da-s-,da,
200v,N017,#snorm,al-s-,al,
200v,N018,#snorm,e-s-,e,
200v,N020,#snorm,e-s-,e,
200v,N021,#snorm,e-s-,e,
200v,N022,#snorm,ke-s-,ke,
200v,N023,#snorm,ke-s-,ke,
200v,N024,#snorm,da-s-,da,
200v,N026,#snorm,e-s-,e,
201r,N001,#snorm,arbai-s-,arbai,
201r,N001,#snorm,-S-pi|s|ße,,pi|s|ße
201r,N002,#snorm,arbei-s-,arbei,
201r,N003,#snorm,al-s-,al,
201r,N003,#snorm,al-s-,al,
201r,N003,#snorm,arbei-s-,arbei,
201r,N004,#snorm,e-s-,e,
201r,N004,#snorm,la-s-,la,
201r,N010,#snorm,al-s-,al,
201r,N010,#snorm,hir-s-,hir,
201r,N011,#snorm,|s|chon-s-,|s|chon,
201r,N011,#snorm,brot-s-,brot,
201r,N011,#snorm,da-s-,da,
201r,N012,#snorm,geu-s-,geu,
201r,N012,#snorm,e-s-,e,
201r,N013,#snorm,lau-s-,lau,
