,folio,line,type,word,pre_text,after_text,position
184,196r,N013,#snorm,herau-s-,herau,,final
185,196r,N013,#snorm,da-s-,da,,final
186,196r,N015,#snorm,da-s-,da,,final
187,196r,N016,#snorm,da-s-,da,,final
188,196r,N016,#snorm,lau-s-,lau,,final
189,196r,N020,#snorm,e-s-,e,,final
190,196r,N020,#snorm,e-s-,e,,final
191,196r,N022,#snorm,bi-s-,bi,,final
192,196r,N023,#snorm,da-s-,da,,final
193,196r,N023,#snorm,e-s-,e,,final
194,196r,N026,#snorm,-S-neit,,neit,initial
195,196v,N005,#snorm,kumel-s-,kumel,,final
196,196v,N006,#snorm,da-s-,da,,final
197,196v,N007,#snorm,da-s-,da,,final
198,196v,N007,#snorm,e-s-,e,,final
199,196v,N007,#snorm,geu-s-,geu,,final
200,196v,N008,#snorm,e-s-,e,,final
201,196v,N008,#snorm,da-s-,da,,final
202,196v,N009,#snorm,e-s-,e,,final
203,196v,N009,#snorm,e-s-,e,,final
204,196v,N009,#snorm,-S-o,,o,initial
205,196v,N010,#snorm,e-s-,e,,final
206,196v,N010,#snorm,e-s-,e,,final
207,196v,N011,#snorm,muo-s-,muo,,final
208,196v,N012,#snorm,de-s-,de,,final
209,196v,N012,#snorm,huone-s-,huone,,final
210,196v,N012,#snorm,e-s-,e,,final
211,196v,N013,#snorm,e-s-,e,,final
212,196v,N014,#snorm,melwe-s-,melwe,,final
213,196v,N014,#snorm,brot-s-,brot,,final
214,196v,N015,#snorm,e-s-,e,,final
215,196v,N015,#snorm,da-s-,da,,final
216,196v,N016,#snorm,aine-s-,aine,,final
217,196v,N016,#snorm,vinger-s-,vinger,,final
218,196v,N017,#snorm,al-s-,al,,final
219,196v,N018,#snorm,e-s-,e,,final
220,196v,N018,#snorm,|s|pi-s-,|s|pi,,final
221,196v,N018,#snorm,al-s-,al,,final
222,196v,N019,#snorm,e-s-,e,,final
223,196v,N019,#snorm,da-s-,da,,final
224,196v,N019,#snorm,e-s-,e,,final
225,196v,N020,#snorm,e-s-,e,,final
226,196v,N020,#snorm,e-s-,e,,final
227,196v,N021,#snorm,al-s-,al,,final
228,196v,N021,#snorm,e-s-,e,,final
229,196v,N022,#snorm,ander-s-,ander,,final
230,196v,N022,#snorm,al-s-,al,,final
231,196v,N022,#snorm,al-s-,al,,final
232,196v,N023,#snorm,-S-y,,y,initial
233,196v,N023,#snorm,au-s-,au,,final
234,196v,N024,#snorm,gehackte-s-,gehackte,,final
235,196v,N024,#snorm,muo-s-,muo,,final
